symbol,bar_index,date,from_state,to_state,score
SONO,52,2025-08-04,NO_BREAKOUT,BREAKOUT_CONFIRMED,
SONO,53,2025-08-05,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
SONO,60,2025-08-14,WAITING_FOR_DEPARTURE,WAITING_FOR_RETURN,
SONO,173,2026-01-27,WAITING_FOR_RETURN,EXPIRED,
SONO,174,2026-01-28,EXPIRED,NO_BREAKOUT,
SONO,180,2026-02-05,NO_BREAKOUT,BREAKOUT_CONFIRMED,
SONO,181,2026-02-06,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
SONO,186,2026-02-13,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
SONO,187,2026-02-17,FAILED_BREAKOUT,NO_BREAKOUT,
SONO,228,2026-04-16,NO_BREAKOUT,BREAKOUT_CONFIRMED,
SONO,229,2026-04-17,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
SONO,236,2026-04-28,WAITING_FOR_DEPARTURE,WAITING_FOR_RETURN,
SONO,242,2026-05-06,WAITING_FOR_RETURN,RECOVERY_FROM_BELOW,
SONO,243,2026-05-07,RECOVERY_FROM_BELOW,WAITING_FOR_DEPARTURE,
SONO,250,2026-05-18,WAITING_FOR_DEPARTURE,WAITING_FOR_RETURN,
SONO,255,2026-05-26,WAITING_FOR_RETURN,BREAKOUT_CONFIRMED,
SONO,256,2026-05-27,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
SONO,257,2026-05-28,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
SONO,258,2026-05-29,FAILED_BREAKOUT,WAITING_FOR_RETURN,
SONO,259,2026-06-01,WAITING_FOR_RETURN,BREAKOUT_CONFIRMED,
SONO,260,2026-06-02,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
SONO,261,2026-06-03,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
SONO,262,2026-06-04,FAILED_BREAKOUT,BREAKOUT_CONFIRMED,
SONO,263,2026-06-05,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
SONO,264,2026-06-08,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
SONO,265,2026-06-09,FAILED_BREAKOUT,WAITING_FOR_RETURN,
SONO,267,2026-06-11,WAITING_FOR_RETURN,ACTIVE_RETEST,
SONO,268,2026-06-12,ACTIVE_RETEST,ENTRY_TOO_FAR,
SONO,269,2026-06-15,ENTRY_TOO_FAR,FAILED_BREAKOUT,
SONO,270,2026-06-16,FAILED_BREAKOUT,NO_BREAKOUT,
SONO,283,2026-07-07,NO_BREAKOUT,BREAKOUT_CONFIRMED,
SONO,284,2026-07-08,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
SONO,289,2026-07-15,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
SONO,290,2026-07-16,FAILED_BREAKOUT,NO_BREAKOUT,
SONO,291,2026-07-17,NO_BREAKOUT,BREAKOUT_CONFIRMED,
SONO,292,2026-07-20,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
SONO,298,2026-07-28,WAITING_FOR_DEPARTURE,BREAKOUT_CONFIRMED,
SONO,299,2026-07-29,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
GLBE,74,2025-09-04,NO_BREAKOUT,BREAKOUT_CONFIRMED,
GLBE,75,2025-09-05,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
GLBE,82,2025-09-16,WAITING_FOR_DEPARTURE,WAITING_FOR_RETURN,
GLBE,97,2025-10-07,WAITING_FOR_RETURN,ACTIVE_RETEST,
GLBE,98,2025-10-08,ACTIVE_RETEST,POST_ENTRY_ACTIVE,
GLBE,100,2025-10-10,POST_ENTRY_ACTIVE,STOPPED_OUT,
GLBE,101,2025-10-13,STOPPED_OUT,NO_BREAKOUT,
GLBE,112,2025-10-28,NO_BREAKOUT,BREAKOUT_CONFIRMED,
GLBE,113,2025-10-29,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
GLBE,117,2025-11-04,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
GLBE,118,2025-11-05,FAILED_BREAKOUT,NO_BREAKOUT,
GLBE,127,2025-11-18,NO_BREAKOUT,BREAKOUT_CONFIRMED,
GLBE,128,2025-11-19,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
GLBE,129,2025-11-20,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
GLBE,130,2025-11-21,FAILED_BREAKOUT,NO_BREAKOUT,
GLBE,131,2025-11-24,NO_BREAKOUT,BREAKOUT_CONFIRMED,
GLBE,132,2025-11-25,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
GLBE,139,2025-12-05,WAITING_FOR_DEPARTURE,WAITING_FOR_RETURN,
GLBE,157,2026-01-02,WAITING_FOR_RETURN,ACTIVE_RETEST,
GLBE,158,2026-01-05,ACTIVE_RETEST,ENTRY_TOO_FAR,
GLBE,159,2026-01-06,ENTRY_TOO_FAR,NO_BREAKOUT,
GLBE,188,2026-02-18,NO_BREAKOUT,BREAKOUT_CONFIRMED,
GLBE,189,2026-02-19,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
GLBE,192,2026-02-24,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
GLBE,193,2026-02-25,FAILED_BREAKOUT,NO_BREAKOUT,
GLBE,198,2026-03-04,NO_BREAKOUT,BREAKOUT_CONFIRMED,
GLBE,199,2026-03-05,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
GLBE,200,2026-03-06,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
GLBE,201,2026-03-09,FAILED_BREAKOUT,NO_BREAKOUT,
GLBE,275,2026-06-24,NO_BREAKOUT,BREAKOUT_CONFIRMED,
GLBE,276,2026-06-25,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
GLBE,277,2026-06-26,WAITING_FOR_DEPARTURE,BREAKOUT_CONFIRMED,
GLBE,278,2026-06-29,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
GLBE,279,2026-06-30,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
GLBE,280,2026-07-01,FAILED_BREAKOUT,WAITING_FOR_DEPARTURE,
GLBE,283,2026-07-07,WAITING_FOR_DEPARTURE,WAITING_FOR_RETURN,
GLBE,285,2026-07-09,WAITING_FOR_RETURN,BREAKOUT_CONFIRMED,
GLBE,286,2026-07-10,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
GLBE,292,2026-07-20,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
GLBE,293,2026-07-21,FAILED_BREAKOUT,WAITING_FOR_RETURN,
GLBE,296,2026-07-24,WAITING_FOR_RETURN,BREAKOUT_CONFIRMED,
GLBE,297,2026-07-27,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
SCI,58,2025-08-12,NO_BREAKOUT,BREAKOUT_CONFIRMED,
SCI,59,2025-08-13,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
SCI,60,2025-08-14,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
SCI,61,2025-08-15,FAILED_BREAKOUT,NO_BREAKOUT,
SCI,79,2025-09-11,NO_BREAKOUT,BREAKOUT_CONFIRMED,
SCI,80,2025-09-12,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
SCI,81,2025-09-15,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
SCI,82,2025-09-16,FAILED_BREAKOUT,NO_BREAKOUT,
SCI,86,2025-09-22,NO_BREAKOUT,BREAKOUT_CONFIRMED,
SCI,87,2025-09-23,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
SCI,94,2025-10-02,WAITING_FOR_DEPARTURE,WAITING_FOR_RETURN,
SCI,99,2025-10-09,WAITING_FOR_RETURN,ACTIVE_RETEST,
SCI,100,2025-10-10,ACTIVE_RETEST,POST_ENTRY_ACTIVE,
SCI,107,2025-10-21,POST_ENTRY_ACTIVE,TARGET_COMPLETED,
SCI,108,2025-10-22,TARGET_COMPLETED,NO_BREAKOUT,
SCI,114,2025-10-30,NO_BREAKOUT,BREAKOUT_CONFIRMED,
SCI,115,2025-10-31,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
SCI,116,2025-11-03,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
SCI,117,2025-11-04,FAILED_BREAKOUT,NO_BREAKOUT,
SCI,162,2026-01-09,NO_BREAKOUT,BREAKOUT_CONFIRMED,
SCI,163,2026-01-12,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
SCI,164,2026-01-13,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
SCI,165,2026-01-14,FAILED_BREAKOUT,NO_BREAKOUT,
SCI,179,2026-02-04,NO_BREAKOUT,BREAKOUT_CONFIRMED,
SCI,180,2026-02-05,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
SCI,183,2026-02-10,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
SCI,184,2026-02-11,FAILED_BREAKOUT,BREAKOUT_CONFIRMED,
SCI,185,2026-02-12,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
SCI,186,2026-02-13,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
SCI,187,2026-02-17,FAILED_BREAKOUT,NO_BREAKOUT,
SCI,195,2026-02-27,NO_BREAKOUT,BREAKOUT_CONFIRMED,
SCI,197,2026-03-03,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
SCI,198,2026-03-04,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
SCI,199,2026-03-05,FAILED_BREAKOUT,NO_BREAKOUT,
SCI,214,2026-03-26,NO_BREAKOUT,BREAKOUT_CONFIRMED,
SCI,215,2026-03-27,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
SCI,219,2026-04-02,WAITING_FOR_DEPARTURE,BREAKOUT_CONFIRMED,
SCI,220,2026-04-06,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
SCI,221,2026-04-07,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
SCI,222,2026-04-08,FAILED_BREAKOUT,WAITING_FOR_RETURN,
SCI,225,2026-04-13,WAITING_FOR_RETURN,ACTIVE_RETEST,
SCI,226,2026-04-14,ACTIVE_RETEST,ENTRY_TOO_FAR,
SCI,227,2026-04-15,ENTRY_TOO_FAR,NO_BREAKOUT,
SCI,234,2026-04-24,NO_BREAKOUT,BREAKOUT_CONFIRMED,
SCI,235,2026-04-27,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
SCI,236,2026-04-28,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
SCI,237,2026-04-29,FAILED_BREAKOUT,NO_BREAKOUT,
SCI,290,2026-07-16,NO_BREAKOUT,BREAKOUT_CONFIRMED,
SCI,291,2026-07-17,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
SCI,292,2026-07-20,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
SCI,293,2026-07-21,FAILED_BREAKOUT,NO_BREAKOUT,
SCI,295,2026-07-23,NO_BREAKOUT,BREAKOUT_CONFIRMED,
SCI,297,2026-07-27,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
LILA,95,2025-10-03,NO_BREAKOUT,BREAKOUT_CONFIRMED,
LILA,96,2025-10-06,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
LILA,98,2025-10-08,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
LILA,99,2025-10-09,FAILED_BREAKOUT,NO_BREAKOUT,
LILA,105,2025-10-17,NO_BREAKOUT,BREAKOUT_CONFIRMED,
LILA,106,2025-10-20,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
LILA,112,2025-10-28,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
LILA,113,2025-10-29,FAILED_BREAKOUT,NO_BREAKOUT,
LILA,130,2025-11-21,NO_BREAKOUT,BREAKOUT_CONFIRMED,
LILA,131,2025-11-24,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
LILA,138,2025-12-04,WAITING_FOR_DEPARTURE,WAITING_FOR_RETURN,
LILA,147,2025-12-17,WAITING_FOR_RETURN,ACTIVE_RETEST,
LILA,149,2025-12-19,ACTIVE_RETEST,STRUCTURALLY_INVALIDATED,
LILA,150,2025-12-22,STRUCTURALLY_INVALIDATED,NO_BREAKOUT,
LILA,198,2026-03-04,NO_BREAKOUT,BREAKOUT_CONFIRMED,
LILA,199,2026-03-05,BREAKOUT_CONFIRMED,WAITING_FOR_DEPARTURE,
LILA,200,2026-03-06,WAITING_FOR_DEPARTURE,FAILED_BREAKOUT,
LILA,201,2026-03-09,FAILED_BREAKOUT,NO_BREAKOUT,
LILA,211,2026-03-23,NO_BREAKOUT,BREAKOUT_CONFIRMED,
