event_id,symbol,market,confirm_date,fold,holdout
A:9:12,A,US,2022-02-15,4,False
A:5:15,A,US,2022-03-15,0,False
A:4:28,A,US,2022-09-26,5,False
A:7:29,A,US,2022-08-30,5,False
A:11:43,A,US,2023-01-31,5,False
A:17:63,A,US,2024-01-04,5,False
A:22:64,A,US,2024-01-05,5,False
A:17:89,A,US,2024-10-24,0,True
A:9:91,A,US,2024-09-12,0,True
A:6:92,A,US,2024-09-05,0,True
A:8:93,A,US,2024-09-04,0,True
A:6:98,A,US,2024-12-16,0,True
A:16:126,A,US,2025-11-20,0,True
AA:6:13,AA,US,2021-09-21,4,False
AA:20:27,AA,US,2023-03-14,5,False
AA:4:44,AA,US,2023-07-21,5,False
AA:2:48,AA,US,2023-11-13,5,False
AA:26:50,AA,US,2024-01-17,5,False
AA:24:51,AA,US,2024-01-05,5,False
AA:5:62,AA,US,2024-07-22,0,True
AA:22:63,AA,US,2024-07-19,0,True
AA:8:64,AA,US,2024-06-20,0,True
AA:21:65,AA,US,2024-06-17,0,True
AA:25:68,AA,US,2024-09-04,0,True
AA:24:69,AA,US,2024-08-30,0,True
AA:5:79,AA,US,2025-02-24,0,True
AA:3:85,AA,US,2025-06-02,0,True
AA:11:118,AA,US,2026-01-26,0,True
AA:13:124,AA,US,2026-04-20,0,True
AAAU:10:6,AAAU,US,2022-05-16,5,False
AAAU:3:50,AAAU,US,2023-08-03,5,False
AAAU:4:58,AAAU,US,2023-11-09,5,False
AAAU:37:87,AAAU,US,2026-03-24,0,True
AAAU:39:88,AAAU,US,2026-04-29,0,True
AACG:0:2,AACG,US,2022-02-24,4,False
AACG:17:24,AACG,US,2024-11-18,0,True
AACG:21:30,AACG,US,2025-12-11,0,True
AACG:0:47,AACG,US,2025-09-30,0,True
AACG:9:48,AACG,US,2025-09-30,0,True
AACG:19:50,AACG,US,2025-10-16,0,True
AACG:10:58,AACG,US,2025-09-25,0,True
AACI:7:14,AACI,US,2025-09-03,0,True
AAL:5:7,AAL,US,2021-06-18,4,False
AAL:6:9,AAL,US,2021-06-16,4,False
AAL:4:13,AAL,US,2021-12-16,4,False
AAL:1:31,AAL,US,2023-03-16,5,False
AAL:15:33,AAL,US,2023-03-14,5,False
AAL:13:34,AAL,US,2023-02-22,5,False
AAL:2:37,AAL,US,2023-09-14,5,False
AAL:19:42,AAL,US,2023-07-26,5,False
AAL:18:43,AAL,US,2023-07-21,5,False
AAL:1:63,AAL,US,2024-05-02,0,True
AAL:16:76,AAL,US,2025-02-24,0,True
AAL:23:79,AAL,US,2025-02-14,0,True
AAL:25:93,AAL,US,2025-07-25,0,True
AAL:26:97,AAL,US,2025-09-30,0,True
AAL:29:111,AAL,US,2026-03-03,0,True
AAL:16:115,AAL,US,2025-12-30,0,True
AAL:2:133,AAL,US,2026-06-05,0,True
AAL:32:134,AAL,US,2026-06-05,0,True
AAME:14:27,AAME,US,2025-09-08,0,True
AAMI:7:17,AAMI,US,2022-01-07,4,False
AAMI:9:21,AAMI,US,2022-02-24,4,False
AAMI:18:38,AAMI,US,2022-12-19,5,False
AAMI:23:62,AAMI,US,2024-02-06,5,False
AAMI:20:70,AAMI,US,2024-05-23,0,True
AAMI:8:95,AAMI,US,2024-10-04,0,True
AAMI:7:96,AAMI,US,2024-10-02,0,True
AAMI:7:100,AAMI,US,2025-01-13,0,True
AAMI:16:101,AAMI,US,2025-01-03,0,True
