iter	MultiClass
0	1.096350804
1	1.094182357
2	1.091971692
3	1.090345529
4	1.088510273
5	1.086922789
6	1.085714254
7	1.084468408
8	1.083312823
9	1.082123792
10	1.081292661
11	1.08032077
12	1.07932101
13	1.078477068
14	1.077709237
15	1.077071401
16	1.076419982
17	1.075698564
18	1.075036731
19	1.074299273
20	1.073740933
21	1.073229216
22	1.072607901
23	1.072039818
24	1.071574139
25	1.070946399
26	1.070610607
27	1.070410887
28	1.070087531
29	1.069720083
30	1.069342547
31	1.068903053
32	1.068447562
33	1.06805534
34	1.067687925
35	1.067396038
36	1.067150297
37	1.066853095
38	1.066540093
39	1.066299732
40	1.065934227
41	1.065689388
42	1.065412986
43	1.065083415
44	1.064841846
45	1.06465703
46	1.064436223
47	1.064093467
48	1.063881775
49	1.063637776
50	1.063463124
51	1.063205792
52	1.063047817
53	1.062808419
54	1.062602784
55	1.062459278
56	1.062196228
57	1.061981677
58	1.061803589
59	1.061563407
60	1.061405643
61	1.061278865
62	1.061026654
63	1.060904604
64	1.060712716
65	1.060624219
66	1.060434022
67	1.060265258
68	1.060043446
69	1.059864455
70	1.059637181
71	1.059529506
72	1.059316941
73	1.059164817
74	1.05903436
75	1.058905866
76	1.058724821
77	1.058580561
78	1.058400871
79	1.058264453
80	1.058050975
81	1.057868771
82	1.057768735
83	1.057518706
84	1.057365655
85	1.057208979
86	1.057115534
87	1.057029287
88	1.056869818
89	1.056703532
90	1.056656214
91	1.056488257
92	1.056266631
93	1.056183095
94	1.055981484
95	1.055881692
96	1.055641601
97	1.055449168
98	1.055265847
99	1.055094931
100	1.054919099
101	1.054801769
102	1.054517378
103	1.054355943
104	1.054258471
105	1.05415908
106	1.054027879
107	1.053942769
108	1.053763643
109	1.05357456
110	1.053462799
111	1.053289141
112	1.053116897
113	1.052883686
114	1.052763103
115	1.052578915
116	1.05243142
117	1.052350351
118	1.052237194
119	1.052085147
120	1.052015349
121	1.051871601
122	1.051791797
123	1.051705452
124	1.051575244
125	1.051436674
126	1.051208628
127	1.050981405
128	1.050840518
129	1.050728301
130	1.050550275
131	1.050445694
132	1.050344639
133	1.050227655
134	1.050042717
135	1.049818226
136	1.04958057
137	1.04948482
138	1.049407294
139	1.049329359
140	1.049154829
141	1.04890219
142	1.048814368
143	1.048670878
144	1.048521224
145	1.048329414
146	1.048175089
147	1.048035295
148	1.047814503
149	1.047748464
150	1.04757381
151	1.047477035
152	1.047379226
153	1.047294921
154	1.047211817
155	1.047049052
156	1.046916425
157	1.046758731
158	1.04665788
159	1.046502873
160	1.046320575
161	1.046245331
162	1.046201224
163	1.046034594
164	1.045975419
165	1.045865956
166	1.04567464
167	1.045480259
168	1.045297337
169	1.045053751
170	1.044927177
171	1.044817958
172	1.044712458
173	1.044606408
174	1.044539427
175	1.044455083
176	1.044356956
177	1.044173732
178	1.043987301
179	1.043875264
180	1.043742506
181	1.043661241
182	1.043436061
183	1.043335063
184	1.043236464
185	1.043020569
186	1.042937409
187	1.042858501
188	1.042764623
189	1.0426754
190	1.042593099
191	1.042530493
192	1.042388669
193	1.042209126
194	1.042077686
195	1.041967585
196	1.041749479
197	1.041578381
198	1.041511248
199	1.041300546
200	1.04119209
201	1.040973072
202	1.040853635
203	1.040729965
204	1.040635948
205	1.040461657
206	1.040302599
207	1.040194799
208	1.04010048
209	1.039936918
210	1.039786221
211	1.039679154
212	1.039534772
213	1.039289434
214	1.039153775
215	1.03903588
216	1.038923347
217	1.038792692
218	1.038768301
219	1.03860857
220	1.038509933
221	1.038335309
222	1.03812
223	1.037922996
224	1.03776873
225	1.037600708
226	1.037484816
227	1.03733814
228	1.037138345
229	1.036903036
230	1.036779364
231	1.036619779
232	1.036463303
233	1.036252561
234	1.035988909
235	1.035784647
236	1.035547611
237	1.035292208
238	1.035058419
239	1.034913977
240	1.034748607
241	1.03458596
242	1.034399123
243	1.034232323
244	1.034112369
245	1.033959239
246	1.033773259
247	1.033631237
248	1.033290757
249	1.033099659
250	1.032935204
251	1.032792988
252	1.032644046
253	1.032414538
254	1.032322489
255	1.03212486
256	1.031850757
257	1.031641616
258	1.031408054
259	1.031222423
260	1.031012891
261	1.030735969
262	1.030513663
263	1.030247181
264	1.030092086
265	1.029930804
266	1.029688666
267	1.029493661
268	1.029308726
269	1.029089061
270	1.028913364
271	1.028672098
272	1.02855149
273	1.028314498
274	1.028108118
275	1.02788529
276	1.027729681
277	1.027419453
278	1.027263722
279	1.026977694
280	1.026806679
281	1.026651498
282	1.026472198
283	1.026290155
284	1.026081161
285	1.025949287
286	1.025772301
287	1.025416552
288	1.025238856
289	1.024992852
290	1.024812608
291	1.024652425
292	1.024418599
293	1.024278953
294	1.024176925
295	1.023970356
296	1.023734309
297	1.023557983
298	1.023353414
299	1.023159186
300	1.022966256
301	1.022818967
302	1.022722158
303	1.022518999
304	1.022394707
305	1.022166415
306	1.021962463
307	1.021761235
308	1.021558012
309	1.021398028
310	1.021204245
311	1.020958192
312	1.020811528
313	1.020650652
314	1.020448862
315	1.020309569
316	1.020127035
317	1.01990966
318	1.019733366
319	1.019589156
320	1.01935486
321	1.019194951
322	1.01902964
323	1.018829056
324	1.018624385
325	1.01846534
326	1.018301042
327	1.018149262
328	1.01793655
329	1.01774467
330	1.017530019
331	1.017260572
332	1.017065197
333	1.016879012
334	1.016671655
335	1.016499205
336	1.016411802
337	1.016182356
338	1.015972486
339	1.015671026
340	1.015490424
341	1.01528667
342	1.015062029
343	1.014915063
344	1.014735532
345	1.014602871
346	1.014415527
347	1.014223956
348	1.013962703
349	1.0137413
350	1.013616193
351	1.013450629
352	1.013286246
353	1.013167562
354	1.012949952
355	1.012790884
356	1.012658176
357	1.012534841
358	1.012422958
359	1.012201405
360	1.01198898
361	1.011805477
362	1.011707873
363	1.01158907
364	1.01142603
365	1.011278136
366	1.011070067
367	1.010898005
368	1.010780597
369	1.010614679
370	1.010427865
371	1.010242977
372	1.010061201
373	1.009929714
374	1.00979206
375	1.009647766
376	1.009471052
377	1.009266789
378	1.009149762
379	1.008949339
380	1.008764771
381	1.008488884
382	1.008265879
383	1.008122359
384	1.007885501
385	1.007711491
386	1.007537093
387	1.007382531
388	1.007237423
389	1.007036791
390	1.006873252
391	1.006721188
392	1.006563355
393	1.006446459
394	1.00625314
395	1.006139572
396	1.005876625
397	1.005784052
398	1.005592357
399	1.005469198
400	1.005357614
401	1.005145621
402	1.004970682
403	1.004832809
404	1.004675398
405	1.004483
406	1.0043124
407	1.004091888
408	1.003972915
409	1.003830433
410	1.003678121
411	1.003519354
412	1.003381836
413	1.003245992
414	1.003117243
415	1.002990256
416	1.002768121
417	1.00262456
418	1.002402316
419	1.002216042
420	1.002092315
421	1.001973255
422	1.001812045
423	1.001565317
424	1.001354911
425	1.001228737
426	1.001044738
427	1.000944823
428	1.000736339
429	1.000609672
430	1.00041315
431	1.000239705
432	1.000145228
433	1.000020419
434	0.9998725466
435	0.9996805987
436	0.9995612656
437	0.9994143396
438	0.9992207076
439	0.9990617097
440	0.9989756896
441	0.9988052661
442	0.9986317217
443	0.9984521704
444	0.9982185385
445	0.9979988978
446	0.9978515211
447	0.997726939
448	0.9975550934
449	0.9974141306
450	0.9972568211
451	0.9971108255
452	0.9969755968
453	0.9968368829
454	0.9966854341
455	0.9965354285
456	0.9963900761
457	0.9961775224
458	0.9960188257
459	0.995776726
460	0.9956694207
461	0.9955755697
462	0.9954784516
463	0.9953049303
464	0.9951436544
465	0.9949372118
466	0.9947285393
467	0.994593275
468	0.9943266151
469	0.994246187
470	0.9940666711
471	0.993957811
472	0.9938206135
473	0.9936390972
474	0.9935052476
475	0.9934231762
476	0.9933175848
477	0.9931676721
478	0.9929367336
479	0.9928049861
480	0.9926201745
481	0.9924843878
482	0.9922976443
483	0.9921989651
484	0.9921175468
485	0.9918858827
486	0.991658154
487	0.9914852426
488	0.9913544863
489	0.9911826086
490	0.9910905015
491	0.990962221
492	0.9907776271
493	0.9906474935
494	0.9903630044
495	0.9901976646
496	0.990082969
497	0.989871392
498	0.9896985155
499	0.9895750406
