iter	Passed	Remaining
0	196	98196
1	249	62045
2	302	50162
3	356	44204
4	408	40424
5	460	37908
6	517	36415
7	568	34954
8	618	33757
9	668	32735
10	728	32362
11	812	33055
12	863	32336
13	922	32025
14	975	31532
15	1025	31006
16	1076	30571
17	1131	30305
18	1179	29856
19	1230	29540
20	1277	29150
21	1327	28833
22	1378	28583
23	1426	28295
24	1485	28215
25	1537	28025
26	1590	27857
27	1640	27652
28	1689	27436
29	1739	27250
30	1789	27079
31	1835	26843
32	1880	26606
33	1929	26443
34	1970	26183
35	2016	25996
36	2065	25844
37	2109	25647
38	2153	25450
39	2198	25280
40	2251	25202
41	2310	25194
42	2363	25121
43	2411	24992
44	2464	24919
45	2521	24889
46	2585	24915
47	2639	24854
48	2688	24741
49	2733	24598
50	2790	24564
51	2834	24420
52	2878	24280
53	2924	24157
54	2969	24024
55	3016	23918
56	3066	23833
57	3114	23736
58	3159	23616
59	3201	23476
60	3245	23357
61	3292	23260
62	3339	23165
63	3382	23043
64	3428	22942
65	3471	22828
66	3515	22721
67	3564	22643
68	3604	22515
69	3653	22440
70	3693	22317
71	3733	22194
72	3787	22152
73	3837	22092
74	3884	22012
75	3935	21958
76	3977	21852
77	4027	21788
78	4073	21708
79	4119	21629
80	4161	21526
81	4210	21464
82	4260	21405
83	4303	21312
84	4354	21259
85	4401	21188
86	4451	21129
87	4499	21066
88	4551	21018
89	4601	20960
90	4650	20900
91	4708	20880
92	4761	20838
93	4818	20813
94	4874	20779
95	4926	20731
96	4983	20706
97	5039	20672
98	5086	20604
99	5141	20565
100	5193	20515
101	5243	20460
102	5288	20382
103	5330	20297
104	5377	20229
105	5431	20187
106	5484	20142
107	5550	20146
108	5622	20169
109	5677	20129
110	5723	20058
111	5787	20051
112	5842	20010
113	5891	19949
114	5942	19894
115	5998	19856
116	6054	19819
117	6115	19798
118	6166	19742
119	6225	19714
120	6279	19670
121	6329	19612
122	6377	19545
123	6423	19477
124	6473	19419
125	6524	19366
126	6571	19300
127	6619	19236
128	6664	19167
129	6709	19095
130	6768	19065
131	6815	19001
132	6867	18951
133	6918	18897
134	6966	18836
135	7021	18792
136	7074	18744
137	7125	18691
138	7177	18639
139	7223	18574
140	7273	18519
141	7319	18453
142	7368	18396
143	7419	18343
144	7466	18280
145	7516	18224
146	7577	18195
147	7641	18174
148	7711	18165
149	7762	18111
150	7816	18066
151	7868	18015
152	7922	17968
153	7975	17918
154	8028	17870
155	8078	17813
156	8130	17762
157	8180	17706
158	8228	17647
159	8282	17600
160	8336	17554
161	8392	17510
162	8455	17480
163	8524	17464
164	8588	17438
165	8659	17422
166	8717	17381
167	8774	17339
168	8824	17284
169	8880	17237
170	8938	17197
171	8998	17159
172	9053	17112
173	9112	17072
174	9172	17033
175	9228	16988
176	9285	16945
177	9341	16897
178	9393	16844
179	9444	16789
180	9497	16738
181	9543	16674
182	9592	16616
183	9643	16561
184	9687	16495
185	9734	16433
186	9787	16382
187	9840	16330
188	9891	16277
189	9938	16215
190	9984	16153
191	10037	16101
192	10085	16042
193	10130	15979
194	10175	15915
195	10218	15849
196	10263	15786
197	10309	15725
198	10352	15659
199	10397	15596
200	10445	15538
201	10497	15486
202	10545	15427
203	10601	15381
204	10653	15330
205	10702	15274
206	10750	15217
207	10800	15162
208	10846	15101
209	10895	15045
210	10944	14990
211	10990	14931
212	11032	14864
213	11083	14813
214	11130	14753
215	11176	14694
216	11224	14638
217	11268	14576
218	11302	14501
219	11355	14452
220	11401	14394
221	11446	14333
222	11499	14284
223	11550	14231
224	11602	14180
225	11663	14140
226	11717	14091
227	11768	14039
228	11819	13986
229	11879	13945
230	11934	13897
231	11983	13843
232	12031	13786
233	12076	13727
234	12127	13676
235	12180	13625
236	12226	13567
237	12278	13516
238	12330	13465
239	12376	13408
240	12429	13357
241	12482	13307
242	12536	13258
243	12585	13204
244	12631	13147
245	12684	13097
246	12731	13040
247	12791	12997
248	12836	12939
249	12887	12887
250	12945	12842
251	12990	12783
252	13036	12726
253	13098	12685
254	13147	12632
255	13196	12578
256	13248	12526
257	13299	12475
258	13347	12420
259	13401	12370
260	13449	12316
261	13502	12265
262	13552	12212
263	13602	12160
264	13665	12118
265	13714	12064
266	13763	12010
267	13816	11960
268	13866	11907
269	13912	11851
270	13957	11794
271	14004	11739
272	14049	11681
273	14095	11626
274	14145	11573
275	14188	11515
276	14237	11462
277	14289	11410
278	14342	11361
279	14389	11305
280	14438	11253
281	14486	11198
282	14534	11144
283	14585	11093
284	14637	11042
285	14687	10990
286	14740	10939
287	14792	10889
288	14836	10832
289	14888	10781
290	14933	10725
291	14979	10670
292	15028	10617
293	15076	10563
294	15120	10507
295	15174	10457
296	15227	10408
297	15271	10351
298	15319	10298
299	15366	10244
300	15415	10191
301	15463	10138
302	15509	10084
303	15558	10030
304	15608	9979
305	15656	9925
306	15703	9872
307	15748	9816
308	15796	9764
309	15848	9713
310	15901	9663
311	15947	9609
312	15998	9558
313	16046	9505
314	16091	9450
315	16141	9398
316	16186	9344
317	16236	9292
318	16279	9237
319	16325	9182
320	16371	9129
321	16418	9076
322	16468	9024
323	16512	8969
324	16557	8915
325	16607	8864
326	16673	8821
327	16727	8771
328	16776	8719
329	16824	8667
330	16869	8612
331	16914	8559
332	16967	8509
333	17017	8457
334	17060	8403
335	17114	8353
336	17159	8299
337	17208	8247
338	17265	8199
339	17309	8145
340	17354	8091
341	17402	8039
342	17448	7986
343	17494	7933
344	17548	7883
345	17598	7832
346	17650	7782
347	17693	7728
348	17743	7676
349	17786	7622
350	17833	7570
351	17880	7517
352	17922	7463
353	17968	7410
354	18015	7358
355	18062	7306
356	18105	7252
357	18152	7200
358	18201	7148
359	18245	7095
360	18290	7042
361	18335	6989
362	18380	6936
363	18422	6883
364	18466	6830
365	18510	6777
366	18562	6727
367	18610	6675
368	18655	6622
369	18706	6572
370	18755	6521
371	18802	6469
372	18853	6419
373	18899	6367
374	18953	6317
375	19003	6267
376	19052	6216
377	19101	6165
378	19146	6112
379	19198	6062
380	19247	6011
381	19292	5959
382	19339	5907
383	19383	5855
384	19430	5804
385	19482	5754
386	19530	5702
387	19578	5651
388	19626	5600
389	19678	5550
390	19730	5500
391	19781	5449
392	19829	5398
393	19873	5346
394	19924	5296
395	19990	5249
396	20048	5201
397	20115	5155
398	20178	5107
399	20226	5056
400	20271	5004
401	20319	4953
402	20363	4901
403	20409	4849
404	20460	4799
405	20515	4749
406	20571	4700
407	20616	4648
408	20662	4597
409	20713	4546
410	20753	4494
411	20831	4449
412	20893	4401
413	20954	4352
414	21009	4303
415	21055	4251
416	21110	4201
417	21167	4152
418	21221	4102
419	21274	4052
420	21322	4001
421	21367	3949
422	21408	3896
423	21457	3846
424	21502	3794
425	21544	3742
426	21597	3692
427	21645	3641
428	21688	3589
429	21737	3538
430	21781	3487
431	21831	3436
432	21887	3386
433	21932	3335
434	21982	3284
435	22031	3233
436	22079	3183
437	22132	3132
438	22193	3083
439	22260	3035
440	22313	2985
441	22371	2935
442	22418	2884
443	22463	2833
444	22514	2782
445	22575	2733
446	22621	2682
447	22672	2631
448	22719	2580
449	22770	2530
450	22822	2479
451	22878	2429
452	22925	2378
453	22971	2327
454	23016	2276
455	23061	2225
456	23104	2173
457	23149	2122
458	23191	2071
459	23241	2020
460	23284	1969
461	23329	1918
462	23371	1867
463	23425	1817
464	23466	1766
465	23514	1715
466	23566	1665
467	23614	1614
468	23662	1564
469	23713	1513
470	23762	1463
471	23804	1412
472	23850	1361
473	23898	1310
474	23940	1260
475	23988	1209
476	24031	1158
477	24076	1108
478	24123	1057
479	24170	1007
480	24224	956
481	24269	906
482	24320	856
483	24368	805
484	24416	755
485	24461	704
486	24519	654
487	24569	604
488	24619	553
489	24667	503
490	24714	453
491	24765	402
492	24811	352
493	24852	301
494	24905	251
495	24954	201
496	24999	150
497	25067	100
498	25125	50
499	25175	0
