symbol,barchart_wa,fitted_wa,codex_wa,bars
SNDK,1349.57,1258.7353892630254,477.2185584060686,274
BWET,1189.79,1027.2808803116113,319.40153935854636,274
ERAS,1122.83,891.3707678176902,317.21728955009695,274
MULL,645.45,730.138677602533,444.95521838628804,274
MUU,640.72,741.6282222727802,445.32369523028325,274
CHRN,465.07,272.14506346189535,217.39073082009472,274
MU,437.42,395.8989217140379,253.2127818785996,274
WDC,405.69,337.5772222464562,259.0687627281579,274
RLAY,398.33,326.4433943050615,206.7691592696531,274
SYRE,391.45,357.5364480694019,195.78256808839453,274
ORKA,390.93,363.0513143566284,211.4727260835168,274
ATEX,373.15,300.4877270431914,133.06412430568724,274
AXTI,370.38,286.65157073546027,499.6750108711299,274
STX,337.42,286.6961096538485,201.08544594661026,274
LITE,327.46,260.3425742646391,293.9684108847934,274
DWSN,323.91,322.5136939162271,142.85519518598414,274
KORU,310.84,338.0118886357747,271.8475482948024,274
SLGL,309.51,266.28922163011214,353.05054249178534,274
TXG,303.05,222.37718328320682,112.72050117359412,274
RVMDW,291.05,,412.45591717269275,274
LQDA,288.23,283.3163117722549,183.7089331080364,274
NESR,287.63,215.65255189526818,214.0540416372715,274
DNTH,279.86,273.70327146807824,213.2112674207717,274
ASX,277.91,207.7921299297227,156.00733611245067,274
NBTX,270.21,272.29556387310083,299.5038631120123,274
CLYM,264.34,379.7601014338728,253.37906426043588,274
VSXY,262.42,189.8787303537743,183.51710651006547,274
SLS,262.3,389.022802585697,202.0448456591061,274
TSEM,260.91,250.6874892829753,220.24366324051442,274
MAAS,260.17,240.1434210425618,143.3377233727075,274
DRTSW,246.82,418.48764870314346,276.4836341586827,274
CIEN,242.89,215.03139665450544,239.55696078494114,274
STRO,239.01,113.95758290852808,167.49241179838774,274
UMC,238.41,167.83596606867908,99.49199292654467,274
DFTX,235.78,242.19961240534505,142.53774845487607,274
ANRO,234.38,247.91612109426504,330.74202317014465,274
BTSG,233.82,204.60357106713323,148.55746920195315,274
NWPX,232.17,192.75294550408938,125.44457379680534,274
ICHR,230.47,257.4508981570525,192.57560937269994,274
BE,230.19,219.37340465839284,342.3328605900689,274
ENLT,227.59,194.8096493321299,176.90838148061823,274
INTC,227.31,214.34692608364318,202.16058562760745,274
BTSGU,222.43,175.58371786059507,114.33083652353915,274
PRLD,220.49,,228.18846514824847,274
ENGS,212.71,,199.83753630375517,274
FTRE,212.1,137.76241695981838,191.13651264136823,274
NCEW,208.76,,613.6494301303967,274
AEHR,205.68,171.99741325167483,182.56751772022548,274
MKSI,204.16,173.18483057711254,168.70548208591745,274
BUUU,204.11,,,0
UCTT,204.02,201.56667748593736,160.54835923181355,274
LABU,203.77,220.73533357976282,184.71709074743302,274
AIP,203.39,170.68523409582897,153.48347897498203,274
VPG,203.29,192.30491613517881,138.2047546294922,274
STTK,201.77,327.0816635868659,319.9697551825339,274
PILL,200.27,184.49001471554965,148.37981014193332,274
LRCU,199.37,,,0
SIF,199.03,197.61754806997396,167.8801646435045,274
TWST,198.93,163.57498199801609,123.8904132211669,274
DRTS,196.96,223.28390276117426,155.06653760791258,274
BIOA,196.93,203.1819465650954,228.15415075973547,274
ASMG,196.32,172.5863646318216,200.72863024707894,274
SOXL,194.2,271.28112166435824,213.01215092856415,274
LRCX,194.03,164.42300791399433,156.3405947576151,274
SIMO,193.44,154.71062395085835,127.79878089619213,274
AMAT,191.98,157.06322592262356,144.34987459477964,274
VSTS,191.29,171.62268423980427,128.16905670261846,274
VICR,189.26,219.0512631569682,233.5310526801416,274
MRVI,187.91,173.85318014573022,114.70659737517221,274
AMD,187.5,172.59691823559757,112.24560784604127,274
AXGN,187.18,144.5237936296025,185.62744304950468,274
ACMR,187.04,150.05598110269992,147.6254217894815,274
TOP,186.98,69.473898710669,115.53757691889854,274
AMDL,185.95,210.51819268145928,177.3318703373767,274
IAU.W,184.54,,,0
BAND,182.49,263.06239155476766,111.51566354804334,274
MVLL,181.04,139.91296371388432,196.42899891878722,274
