date,next_date,symbol,entry_price,exit_price,shares,pnl,sort_val
2024-07-29,2024-07-30,RITES.NS,379.58,377.48,52,-109.2,13.79
2024-07-29,2024-07-30,BANDHANBNK.NS,218.87,219.77,91,81.9,13.6987
2024-07-29,2024-07-30,MAZDOCK.NS,2670.2,2684.52,7,100.27,9.9266
2024-07-29,2024-07-30,RVNL.NS,606.3,614.45,32,260.8,9.7674
2024-07-29,2024-07-30,IRCON.NS,299.1,295.15,66,-260.7,8.9221
2024-07-30,2024-07-31,PARADEEP.NS,94.49,91.84,211,-559.15,10.0128
2024-07-30,2024-07-31,ADANIENSOL.NS,1124.9,1138.05,17,223.55,6.9347
2024-07-30,2024-07-31,NAVINFLUOR.NS,3771.15,3800.95,5,149.0,5.6108
2024-07-30,2024-07-31,COHANCE.NS,943.95,997.2,21,1118.25,5.2576
2024-07-30,2024-07-31,GRSE.NS,2439.5,2405.55,8,-271.6,4.9992
2024-07-31,2024-08-01,TBOTEK.NS,1836.25,1769.0,10,-672.5,6.1723
2024-07-31,2024-08-01,KEC.NS,925.35,906.85,21,-388.5,4.5534
2024-07-31,2024-08-01,BLUEDART.NS,8175.55,8219.15,2,87.2,4.1916
2024-07-31,2024-08-01,PNBHOUSING.NS,805.5,809.55,25,101.25,3.2758
2024-07-31,2024-08-01,GRAPHITE.NS,532.2,529.1,37,-114.7,2.1791
2024-08-01,2024-08-02,CGCL.NS,225.55,214.03,88,-1013.76,7.9342
2024-08-01,2024-08-02,ATGL.NS,915.55,908.9,21,-139.65,2.2333
2024-08-01,2024-08-02,THERMAX.NS,5180.2,4984.3,3,-587.7,2.1373
2024-08-01,2024-08-02,TATACONSUM.NS,1208.35,1193.65,16,-235.2,1.6317
2024-08-01,2024-08-02,GILLETTE.NS,7941.95,7981.9,2,79.9,1.4985
2024-08-02,2024-08-05,NAUKRI.NS,1444.1,1394.75,13,-641.55,4.5775
2024-08-05,2024-08-06,DEVYANI.NS,181.27,179.95,107,-141.24,1.923
2024-08-06,2024-08-07,KPRMILL.NS,945.55,940.9,20,-93.0,14.3764
2024-08-06,2024-08-07,BLS.NS,385.1,384.35,50,-37.5,10.06
2024-08-06,2024-08-07,GRAVITA.NS,1711.4,1765.85,11,598.95,5.7268
2024-08-06,2024-08-07,TRITURBINE.NS,619.45,638.5,31,590.55,3.9956
2024-08-06,2024-08-07,GPIL.NS,223.6,229.04,86,467.84,3.8551
2024-08-07,2024-08-08,SARDAEN.NS,277.45,284.0,71,465.05,12.1463
2024-08-07,2024-08-08,TEJASNET.NS,1290.45,1234.85,15,-834.0,12.1107
2024-08-07,2024-08-08,HFCL.NS,137.9,136.44,142,-207.32,11.5245
2024-08-07,2024-08-08,RKFORGE.NS,931.7,933.55,21,38.85,8.2302
2024-08-07,2024-08-08,ONGC.NS,329.1,322.7,59,-377.6,7.5139
2024-08-08,2024-08-09,CEMPRO.NS,534.65,558.1,36,844.2,10.705
2024-08-08,2024-08-09,HONASA.NS,496.35,473.65,39,-885.3,8.8726
2024-08-08,2024-08-09,BSE.NS,866.6,883.5,22,371.8,8.3905
2024-08-08,2024-08-09,KFINTECH.NS,909.0,1075.35,21,3493.35,7.7717
2024-08-08,2024-08-09,CRISIL.NS,4471.55,4415.85,4,-222.8,5.3654
2024-08-09,2024-08-12,NBCC.NS,123.19,121.19,164,-329.09,9.2979
