date,next_date,symbol,entry_price,exit_price,shares,pnl,sort_val
2024-07-29,2024-07-30,GODIGIT.NS,352.05,359.95,284,2243.61,100.0
2024-07-30,2024-07-31,ADANIENSOL.NS,1124.9,1138.05,90,1183.5,61.3208
2024-07-31,2024-08-01,PERSISTENT.NS,4832.3,4796.45,21,-752.84,56.8182
2024-08-01,2024-08-02,ATGL.NS,915.55,908.9,112,-744.8,57.3529
2024-08-02,2024-08-05,NAUKRI.NS,1444.1,1394.75,70,-3454.5,56.7568
2024-08-05,2024-08-06,DEVYANI.NS,181.27,179.95,543,-716.76,58.3333
2024-08-06,2024-08-07,EMCURE.NS,1294.8,1305.05,75,768.75,100.0
2024-08-07,2024-08-08,TEJASNET.NS,1290.45,1234.85,76,-4225.6,64.4444
2024-08-08,2024-08-09,FLUOROCHEM.NS,3391.1,3417.8,27,720.9,61.1111
2024-08-09,2024-08-12,LODHA.NS,1244.35,1298.0,76,4077.4,74.4681
2024-08-12,2024-08-13,CHOICEIN.NS,400.05,394.2,247,-1444.94,70.3704
2024-08-13,2024-08-14,KAYNES.NS,4702.0,4868.8,20,3336.0,70.8333
2024-08-14,2024-08-16,CYIENT.NS,1734.9,1785.25,58,2920.3,62.5
2024-08-16,2024-08-19,MEDANTA.NS,1125.75,1106.25,92,-1794.0,64.7059
2024-08-19,2024-08-20,INDGN.NS,564.05,584.1,181,3629.05,100.0
2024-08-20,2024-08-21,SHYAMMETL.NS,762.35,763.25,138,124.2,64.1026
2024-08-21,2024-08-22,ANANDRATHI.NS,938.15,939.53,112,154.0,76.0
2024-08-22,2024-08-23,JYOTICNC.NS,1222.25,1264.1,86,3599.1,80.0
2024-08-23,2024-08-26,NLCINDIA.NS,275.45,273.25,397,-873.4,56.0
2024-08-26,2024-08-27,KEC.NS,854.05,864.1,127,1276.35,54.6296
2024-08-27,2024-08-28,ANANDRATHI.NS,933.91,932.25,117,-194.51,73.0769
2024-08-28,2024-08-29,LODHA.NS,1251.75,1254.45,87,234.9,75.0
2024-08-29,2024-08-30,MEDANTA.NS,1123.5,1134.7,97,1086.4,66.6667
2024-08-30,2024-09-02,INDGN.NS,583.3,584.3,190,190.0,100.0
2024-09-02,2024-09-03,BANDHANBNK.NS,201.61,201.37,552,-132.48,62.7907
2024-09-03,2024-09-04,MPHASIS.NS,3125.35,3088.7,35,-1282.76,59.8214
2024-09-04,2024-09-05,HDFCBANK.NS,820.9,822.72,133,242.72,65.5462
2024-09-05,2024-09-06,FLUOROCHEM.NS,3524.3,3808.9,31,8822.6,61.8182
2024-09-06,2024-09-09,BLUEJET.NS,509.45,522.8,233,3110.54,54.5455
2024-09-09,2024-09-10,CLEAN.NS,1536.25,1578.95,79,3373.3,60.5263
2024-09-10,2024-09-11,CHOICEIN.NS,459.65,454.15,272,-1496.0,67.8571
2024-09-11,2024-09-12,KPITTECH.NS,1789.35,1838.05,69,3360.31,64.7887
2024-09-12,2024-09-13,KAYNES.NS,5165.85,5333.25,24,4017.6,72.0
2024-09-13,2024-09-16,LODHA.NS,1230.2,1276.0,106,4854.81,75.5102
2024-09-16,2024-09-17,ANGELONE.NS,258.12,255.78,527,-1233.18,64.2857
2024-09-17,2024-09-18,JYOTICNC.NS,1200.05,1177.2,112,-2559.21,72.7273
2024-09-18,2024-09-19,KEC.NS,1017.0,986.15,130,-4010.5,54.1284
2024-09-19,2024-09-20,RAINBOW.NS,1386.25,1379.4,92,-630.2,60.0
2024-09-20,2024-09-23,RELIANCE.NS,1485.93,1493.38,85,633.25,63.1148
2024-09-23,2024-09-24,INDGN.NS,689.95,681.75,186,-1525.2,83.3333
2024-09-24,2024-09-25,DMART.NS,5391.45,5265.5,23,-2896.85,62.6374
2024-09-25,2024-09-26,GVT&D.NS,1630.2,1624.55,76,-429.39,60.6742
2024-09-26,2024-09-27,AFFLE.NS,1590.1,1597.85,77,596.75,64.7887
2024-09-27,2024-09-30,TBOTEK.NS,1847.15,1794.3,67,-3540.95,60.0
2024-09-30,2024-10-01,CLEAN.NS,1576.5,1626.9,76,3830.4,61.5385
2024-10-01,2024-10-03,INDGN.NS,732.7,703.85,169,-4875.66,71.4286
