timestamp_et,open,high,low,close,volume,sma_26,pct_15m,wa,wa_old
2026-05-20 09:30:00 AM ET,220.49,220.67,216.89,219.285,5505,,,,
2026-05-20 09:45:00 AM ET,219.72,220.53,219.69,220.08,3421,,0.3625418975306216,,
2026-05-20 10:00:00 AM ET,220.04,220.78,219.895,220.78,3026,,0.318066157760799,,
2026-05-20 10:15:00 AM ET,220.9,221.5,220.36,220.52,4497,,-0.1177642902436826,,
2026-05-20 10:30:00 AM ET,220.79,220.99,220.48,220.99,3853,,0.213132595682941,,
2026-05-20 10:45:00 AM ET,220.98,221.34,220.96,220.96,9534,,-0.0135752748993134,,
2026-05-20 11:00:00 AM ET,221.13,221.52,220.82,221.4,1859,,0.1991310644460453,,
2026-05-20 11:15:00 AM ET,221.6,222.3,221.6,221.665,4197,,0.1196928635952998,,
2026-05-20 11:30:00 AM ET,221.79,222.41,221.79,222.41,3927,,0.3360927525770885,,
2026-05-20 11:45:00 AM ET,222.45,222.515,221.84,221.99,2720,,-0.1888404298367785,,
2026-05-20 12:00:00 PM ET,222.06,222.475,222.06,222.475,1894,,0.2184783098337694,,
2026-05-20 12:15:00 PM ET,222.78,222.78,222.18,222.18,828,,-0.1325991684458904,,
2026-05-20 12:30:00 PM ET,222.19,222.41,222.19,222.41,1838,,0.1035196687370509,,
2026-05-20 12:45:00 PM ET,222.63,222.63,222.24,222.24,814,,-0.0764354120767918,,
2026-05-20 01:00:00 PM ET,222.47,222.5,222.12,222.305,1673,,0.0292476601871927,,
2026-05-20 01:15:00 PM ET,222.83,222.83,222.61,222.615,1459,,0.1394480555992894,,
2026-05-20 01:30:00 PM ET,222.945,223.455,222.84,223.455,2293,,0.377333063809715,,
2026-05-20 01:45:00 PM ET,223.39,223.48,223.13,223.13,3843,,-0.1454431541026202,,
2026-05-20 02:00:00 PM ET,223.23,223.34,222.98,223.05,2103,,-0.0358535382960489,,
2026-05-20 02:15:00 PM ET,223.385,223.565,223.31,223.52,1081,,0.2107150863035256,,
2026-05-20 02:30:00 PM ET,223.57,223.84,223.57,223.785,1088,,0.1185576234788765,,
2026-05-20 02:45:00 PM ET,223.96,223.96,223.545,223.545,3541,,-0.107245793954025,,
2026-05-20 03:00:00 PM ET,223.58,224.05,223.445,223.97,2267,,0.1901183206960643,,
2026-05-20 03:15:00 PM ET,223.99,224.22,223.92,224.12,3873,,0.0669732553467028,,
2026-05-20 03:30:00 PM ET,224.5,224.74,224.285,224.57,6416,,0.200785293592709,,
2026-05-20 03:45:00 PM ET,224.45,224.99,223.86,224.84,37883,222.3957692307692,0.120229772454028,,
2026-05-21 09:30:00 AM ET,232.325,235.28,231.06,233.06,102958,222.92557692307693,3.655933107987908,,
2026-05-21 09:45:00 AM ET,232.94,238.545,232.775,237.72,79340,223.6040384615385,1.9994851111301728,,
2026-05-21 10:00:00 AM ET,237.73,239.39,236.765,239.37,42826,224.31903846153847,0.694093891973746,,
2026-05-21 10:15:00 AM ET,239.235,241.41,238.94,240.68,57050,225.09442307692308,0.5472699168651118,,
2026-05-21 10:30:00 AM ET,240.93,243.1,240.16,242.69,88110,225.92903846153848,0.8351337876017828,,
2026-05-21 10:45:00 AM ET,242.67,242.82,241.42,242.69,25373,226.7648076923077,0.0,,
2026-05-21 11:00:00 AM ET,242.37,242.51,240.58,241.33,36951,227.53134615384613,-0.5603856772013582,,
2026-05-21 11:15:00 AM ET,241.155,243.865,241.1,241.705,33605,228.30211538461535,0.155388886586838,,
2026-05-21 11:30:00 AM ET,241.45,243.32,241.2,243.32,17898,229.10634615384615,0.6681698765023336,,
2026-05-21 11:45:00 AM ET,242.98,244.08,242.88,243.94,16792,229.9505769230769,0.2548084826565766,,
2026-05-21 12:00:00 PM ET,243.92,244.35,243.085,243.62,32529,230.76384615384612,-0.131179798311054,,
2026-05-21 12:15:00 PM ET,243.405,243.405,240.3,240.3,14414,231.46076923076924,-1.3627780970363657,,
2026-05-21 12:30:00 PM ET,240.515,241.32,240.1,241.32,8844,232.1880769230769,0.4244694132334414,,
2026-05-21 12:45:00 PM ET,241.33,242.79,241.33,242.39,8524,232.96307692307693,0.4433946626885454,,
2026-05-21 01:00:00 PM ET,242.415,243.86,242.415,243.84,18424,233.79134615384615,0.598209497091462,,
2026-05-21 01:15:00 PM ET,243.785,245.525,243.755,245.13,30191,234.6573076923077,0.5290354330708569,,
2026-05-21 01:30:00 PM ET,245.165,245.29,244.27,245.22,11825,235.49442307692303,0.0367152123363023,,
2026-05-21 01:45:00 PM ET,245.32,247.33,245.06,247.19,33417,236.4198076923077,0.8033602479406321,,
2026-05-21 02:00:00 PM ET,247.25,249.425,247.07,249.31,27328,237.4298076923077,0.8576398721631184,,
2026-05-21 02:15:00 PM ET,249.33,251.54,248.64,251.54,34628,238.5075,0.8944687337050228,,
2026-05-21 02:30:00 PM ET,251.72,252.2,248.95,250.71,38351,239.5430769230769,-0.3299674008109932,,
